,$s_G$,$δ_G$,$φ_G$,$s_M$,$δ_M$,$φ_M$
DGY1886,0.02564958756131136,4.903702352290455e-05,0.013163233726360909,,,
DGY2748,0.010495914716645382,0.00010664236869252471,0.10565893550336632,0.0599909951543809,0.009977747225587098,0.008805076688732334
DGY2750,0.0018633387054579975,0.008735259979884849,0.0019307638988488476,0.05630677340258362,0.006815526827330785,0.010343499814246508
DGY2751,0.012927596460308825,1.0548691819550833e-05,0.03864854682223821,0.07462892085636279,1.0190564948520718e-05,0.005419279557929424
DGY2755,0.011679023576435231,1.6354826265820195e-05,0.04901037966749952,0.05954826115692583,0.007612117604286476,0.00116448265021998
