,fitness_min,fitness_max,strain_in_paper
DGY1886,0.97870877480553,0.9734043862490442,m_11
DGY2748,-0.051325496221629074,-0.06995269037091445,gm_13
DGY2750,-0.04178858661205309,-0.07671108391320847,gm_14
DGY2751,-0.07578986602330329,-0.093157501519045,gm_15
DGY2755,-0.04811251146723339,-0.0784338170422505,gm_16
