,fitness_min,fitness_max,strain_in_paper
DGY1886,0.9787087748055299,0.9734043862490442,m_11
DGY2748,0.9478714365100283,0.9181336629523953,gm_13
DGY2750,0.9559397055637278,0.9269930646629729,gm_14
DGY2751,0.9375785257209879,0.9114926819220777,gm_15
DGY2755,0.9461314184168,0.9183260841384662,gm_16
