,fitness_min,fitness_max,strain_in_paper
DGY1886,-0.02129122519447002,-0.02659561375095576,m_11
DGY2748,-0.051325496221629,-0.0699526903709144,gm_13
DGY2750,-0.041788586612053,-0.0767110839132084,gm_14
DGY2751,-0.0757898660233032,-0.093157501519045,gm_15
DGY2755,-0.0481125114672333,-0.0784338170422505,gm_16
