,fitness_min,fitness_max,strain_in_paper
DGY1886,-0.02129122519447002,-0.02659561375095576,m_11
DGY2748,-0.052128563489971635,-0.08186633704760482,gm_13
DGY2750,-0.04406029443627224,-0.07300693533702718,gm_14
DGY2751,-0.06242147427901201,-0.08850731807792245,gm_15
DGY2755,-0.05386858158319996,-0.08167391586153383,gm_16
