,$s_G$,$δ_G$,$s_M$,$δ_M$
DGY1886,0.02760841468718901,0.00038458991563560023,0,0
DGY2748,0.009701114968333455,0.00020289640008791336,0.05269504864010241,0.009020531831918636
DGY2750,0.017918459392208423,0.0012385787972112876,0.05983036191501474,0.004987781818730243
DGY2751,0.046433380331852896,0.0005772516397401053,0.07998344692840811,0.00022934303411091634
DGY2755,0.008471152779322842,0.00017867076595780968,0.06666733540785565,0.004828901881343209
